1	31,2526.61
2	2,130.61
3	17,620.19
4	2185,31411.76
5	4,324.74
6	4,289.78
7	1891,25120.44
8	8,174.80
9	26,583.62
10	428,24426.72
11	19,683.96
12	602,11884.16
13	8350,152153.36
14	104,2889.65
15	12,373.11
16	45,1330.11
17	269,4619.22
18	43,1005.70
19	28,786.09
20	22,763.42
21	40,1144.95
22	55,1665.96
23	7,356.64
24	3126,41185.83
25	869,15354.71
26	121,2521.66
28	159,7116.67
29	25,661.94
30	1,16.22
31	6,240.10
32	46,1560.91
33	911,16630.15
34	29,643.30
35	144,3733.40
36	155,3418.38
37	310,6790.86
38	26,962.18
39	138,4579.93
40	455,7508.05
41	4582,57161.80
42	2198,29572.05
43	16715,218013.55
44	5,316.50
45	2306,38021.24
46	6,242.82
47	51,1056.94
48	34512,466889.34
49	306,5355.04
50	9135,122310.90
51	112,3661.65
52	476,8127.33
53	23,792.87
54	32,586.54
55	43,1437.28
56	70,2387.77
57	6,239.96
58	2,23.55
59	6,134.15
60	37,790.26
61	361,7493.63
62	111,2306.45
63	39,839.88
64	5,153.64
65	1194,21844.53
66	502,9546.35
67	35,1037.78
68	23359,318435.53
69	128,2934.73
70	130,4112.04
71	80,2375.35
72	103,2864.36
73	8,233.32
74	4562,56144.19
75	8448,105246.43
76	235,6945.32
77	57,1499.14
78	50,1257.67
79	27527,363885.75
80	491,9703.05
81	43,1137.48
82	397,8208.95
83	157,2498.51
85	64,1572.88
86	19,1149.13
87	6590,128040.59
88	3661,75144.80
89	198,5198.78
90	17564,215343.59
91	102,2888.58
92	70,1792.81
93	177,9524.76
94	34,987.17
95	213,5052.59
96	4,69.90
97	812,13178.61
98	22,530.90
100	22198,301528.22
101	18,657.38
102	24,627.22
106	131,2377.94
107	23492,294134.34
108	26,895.90
109	2,47.48
111	1,10.38
112	380,6375.87
113	15037,188378.39
114	12827,172759.53
115	2,118.49
116	1384,19892.72
117	23,1179.66
118	5,247.39
119	75,1974.87
120	9,206.14
121	45,1088.17
122	19,740.69
123	60,1692.99
124	44,1952.34
125	5115,70185.70
126	41,999.92
127	108,2287.69
128	7,168.45
129	706,11384.77
130	190,9258.53
131	43,1472.28
132	33174,1880029.50
133	57,1101.75
134	92,2875.37
135	75,2460.18
136	69,1510.91
137	14201,180747.05
138	26647,1027058.63
139	36,1216.87
140	19122,253093.31
141	26160,296385.97
142	31738,386956.28
143	12358,147491.72
144	10274,147386.31
145	875,22309.88
146	1061,14950.85
147	32,894.05
148	12783,195742.42
149	43,906.99
150	20,613.34
151	10230,127746.30
152	998,14041.59
153	28,603.29
154	8,339.14
155	74,2269.89
156	6,500.43
157	83,3640.46
158	9160,131079.13
159	124,2521.52
160	44,1820.08
161	40598,562476.25
162	33708,450864.84
163	26566,376521.59
164	24113,329430.03
165	74,2128.75
166	4526,62377.22
167	61,1320.27
168	300,5247.27
169	66,1638.43
170	31341,420611.06
171	24,909.30
173	55,1216.84
174	46,966.07
175	20,628.85
177	100,2580.24
178	28,746.40
179	654,9322.37
180	30,934.80
181	1001,18118.21
182	54,1701.26
183	21,911.66
184	3,243.73
185	38,839.86
186	37428,523088.13
187	1,8.30
188	219,4742.35
189	243,4139.97
190	50,951.50
191	82,2834.19
192	18,552.04
193	454,6794.57
194	55,3312.26
195	92,2809.40
196	121,2928.33
197	128,4792.86
198	94,2122.07
200	46,1492.48
201	5,240.16
202	48,1000.09
203	23,848.72
205	108,3826.38
206	1,77.82
207	10,328.46
208	29,740.67
209	2070,39331.31
210	71,2328.45
211	8116,112773.80
212	35,819.90
213	112,2865.47
215	162,9080.63
216	211,8404.24
217	86,1220.43
218	83,2821.44
219	114,5925.14
220	63,1643.49
221	7,444.38
222	66,2253.49
223	566,11934.56
224	2536,33061.03
225	200,4817.60
226	1748,34999.46
227	37,1227.10
228	130,3550.31
229	20474,250418.33
230	35718,548280.38
231	15439,235456.31
232	1790,31930.37
233	12475,175487.88
234	29491,371540.75
235	100,2523.54
236	38893,446385.09
237	40245,447934.31
238	21409,256754.78
239	29055,348991.25
240	8,291.24
241	37,913.47
242	69,1610.63
243	271,5588.26
244	1223,19908.01
245	2,101.86
246	11623,157628.45
247	162,3016.18
248	31,813.16
249	19591,252801.58
250	34,791.41
251	3,82.90
252	12,471.78
253	3,47.90
254	79,2509.22
255	797,13738.63
256	804,14235.43
257	56,1519.91
258	42,1421.76
259	43,1335.74
260	728,11868.20
261	6425,123841.22
262	12954,162116.09
263	22078,257347.77
264	17503,271075.31
265	279,13334.00
